No.,Dataset,N_Variants,N_Max_Muts,Untrained_Performance_DCA,Untrained_Performance_ESM1v,Untrained_Performance_ProSST,Hybrid_DCA_Trained_Performance_100,Hybrid_DCA_ESM1v_Trained_Performance_100,Hybrid_DCA_ProSST_Trained_Performance_100,Hybrid_DCA_Trained_Performance_200,Hybrid_DCA_ESM1v_Trained_Performance_200,Hybrid_DCA_ProSST_Trained_Performance_200,Hybrid_DCA_Trained_Performance_1000,Hybrid_DCA_ESM1v_Trained_Performance_1000,Hybrid_DCA_ProSST_Trained_Performance_1000,N_Y_test,N_Y_test_100,N_Y_test_200,N_Y_test_1000,Time_in_s
1,A0A140D2T1_ZIKV_Sourisseau_2019,9576,1,0.3961484373234954,0.025321007234227765,nan,0.39625513159145775,0.3945199199006544,nan,0.3625266358769935,0.3796601052244235,nan,0.42589911431961464,0.44013401721412304,nan,9576,9476,9376,8576,3450
2,A0A192B1T2_9HIV1_Haddox_2018,12577,1,0.5142308485827871,0.4818033871398063,0.4480413345511842,0.5146527813514364,0.5435129382224032,0.5924128662504711,0.5467805611967641,0.5628488925632386,0.6078673337402053,0.6135023014022313,0.6678319327395137,0.6655014702779698,12577,12477,12377,11577,9738
3,A0A1I9GEU1_NEIME_Kennouche_2019,922,1,0.05411293279402172,0.07207428613031318,0.047303886240045084,0.04436729926547371,0.04427441555019729,0.08790597435423003,0.06540297172246635,0.0725659812731205,0.03614327174785718,nan,nan,nan,922,822,722,nan,256
4,A0A247D711_LISMN_Stadelmann_2021,1653,1,0.4714160727397353,0.1922849713838631,0.4683286023339054,0.4842922488159595,0.47869162933481824,0.5869795493921092,0.531315014757049,0.5133715949185581,0.6219219229364262,0.6323348215864005,0.6248817967566451,0.6894997810047412,1653,1553,1453,653,526
5,A0A2Z5U3Z0_9INFA_Doud_2016,10715,1,0.1391166205539817,0.48300176044919707,0.47710377008999405,0.13967082235859982,0.49375101649184666,0.49294188359007274,0.27802529906449985,0.5248994314331253,0.5642866911518036,0.5196491031680416,0.6504876227143324,0.6457733718778265,10715,10615,10515,9715,5328
6,A0A2Z5U3Z0_9INFA_Wu_2014,2350,1,0.3648647777916376,0.43310916448256903,0.36612159772291447,0.3671848245849248,0.45217249523558617,0.4603122688694703,0.3689452266258967,0.48361188758319923,0.42902907236054805,0.3967658185607553,0.49496694985733,0.49448058180987625,2350,2250,2150,1350,2488
7,A4D664_9INFA_Soh_2019,14421,1,-0.10916121986038664,0.04568083925978014,0.2959612431218879,-0.10951341634667816,0.16922806390981557,0.3449684112889143,-0.02816637449647003,0.2659695893301885,0.3762411589983513,0.4045659532993644,0.4649682439579048,0.5442379418082474,14421,14321,14221,13421,8969
8,A4GRB6_PSEAI_Chen_2020,5004,1,0.6681056494435768,0.543247747835155,0.647351733217166,0.6105347017831526,0.6007582102931497,0.7414608515883568,0.7053638375627392,0.6894205591814954,0.7677593077079674,0.7245479703656822,0.8059450782290521,0.8107707930340956,5004,4904,4804,4004,1751
9,AACC1_PSEAI_Dandage_2018,1801,1,0.3180712414525488,0.45793953382550573,0.36853292069676097,0.3174612456170627,0.45937287821213785,0.4310318712519802,0.3521756690003161,0.49206057023996924,0.4617532190070763,0.4488626249244256,0.5505813182399806,0.534569265039648,1801,1701,1601,801,869
10,ACE2_HUMAN_Chan_2020,2223,1,0.24320754065919856,0.1855938942334426,0.2613054581997969,0.2985805551410494,0.24485718938989934,0.353286631689331,0.4023145866828806,0.3372015473315942,0.4700770240532049,0.5643356952550576,0.6012504479478733,0.610115781454495,2223,2123,2023,1223,3995
